iter	Passed	Remaining
0	18	543
1	32	458
2	43	393
3	54	353
4	67	338
5	81	324
6	92	302
7	102	282
8	113	263
9	122	245
10	132	229
11	144	216
12	154	202
13	164	187
14	176	176
15	185	162
16	199	152
17	212	141
18	222	128
19	232	116
20	242	103
21	251	91
22	261	79
23	271	67
24	281	56
25	293	45
26	303	33
27	311	22
28	318	10
29	327	0
